stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
AIX-21348,21348,Chocolaterie,Chocolaterie,43.563358,5.434126,,,0,,,0,,
AIX-23275,23275,Chocolaterie,Chocolaterie,43.563236,5.434007,,,0,,,0,,
AIX-22047,22047,Chopin,Chopin,43.535568,5.465478,,,0,,,0,,
AIX-22364,22364,Chopin,Chopin,43.535435,5.46536,,,0,,,0,,
AIX-24937,24937,Château,Château,43.508114,5.406056,,,0,,,0,,
AIX-26270,26270,Château,Château,43.508068,5.406247,,,0,,,0,,
AIX-25380,25380,Château Galice,Château Galice,43.523808,5.376228,,,0,,,0,,
AIX-23906,23906,Ciam,Ciam,43.524849,5.389945,,,0,,,0,,
AIX-26053,26053,Ciam,Ciam,43.524803,5.38989,,,0,,,0,,
AIX-23098,23098,Cible,Cible,43.516403,5.460912,,,0,,,0,,
AIX-26120,26120,Cible,Cible,43.5159,5.461181,,,0,,,0,,
AIX-21233,21233,Cimetière St-Pierre,Cim. St Pierre,43.525372,5.460098,,,0,,,0,,
AIX-26636,26636,Cimetière St-Pierre,Cim. St Pierre,43.525356,5.460279,,,0,,,0,,
AIX-25419,25419,Cite  U.,Cité U,43.517818,5.454477,,,0,,,0,,
AIX-25813,25813,Cite  U.,Cité U,43.517654,5.454362,,,0,,,0,,
AIX-25420,25420,Cité Du Livre,Cité du Livre,43.524944,5.440088,,,0,,,0,,
AIX-22285,22285,Clg Jas De Bouffan,CLG Jas Bouffan,43.525246,5.422215,,,0,,,0,,
AIX-24300,24300,Clg Jas De Bouffan,CLG Jas Bouffan,43.524929,5.422967,,,0,,,0,,
AIX-23276,23276,Clg Nina Simone,CLG Nina Simone,43.540401,5.452317,,,0,,,0,,
AIX-23632,23632,Clg Rocher Du Dragon,CLG Roch. Dragon,43.533928,5.439278,,,0,,,0,,
AIX-35119,35119,Clg Sophie Germain,CLG S. Germain,43.481449,5.411699,,,0,,,0,,
AIX-23811,23811,Clos Bernadette,Clos Bernadette,43.517105,5.43557,,,0,,,0,,
AIX-25875,25875,Clos Bernadette,Clos Bernadette,43.517075,5.435405,,,0,,,0,,
AIX-22857,22857,Clos Gabriel,Clos Gabriel,43.529327,5.41288,,,0,,,0,,
AIX-24093,24093,Clos Gabriel,Clos Gabriel,43.529533,5.413156,,,0,,,0,,
AIX-22858,22858,Club Hippique,Club Hippique,43.513092,5.428077,,,0,,,0,,
AIX-24938,24938,Club Hippique,Club Hippique,43.513248,5.428538,,,0,,,0,,
AIX-24004,24004,Collongue,Collongue,43.539871,5.496924,,,0,,,0,,
AIX-26206,26206,Collongue,Collongue,43.53997,5.49662,,,0,,,0,,
AIX-24828,24828,Colonel Bellec,Colonel Bellec,43.575119,5.418089,,,0,,,0,,
AIX-26141,26141,Colonel Bellec,Colonel Bellec,43.575058,5.418035,,,0,,,0,,
AIX-22092,22092,Colonel Schuler,Colonel Schuler,43.513218,5.44167,,,0,,,0,,
AIX-25814,25814,Colonel Schuler,Colonel Schuler,43.513317,5.441579,,,0,,,0,,
AIX-23985,23985,Commanderie,Commanderie,43.488289,5.41838,,,0,,,0,,
AIX-24477,24477,Commanderie,Commanderie,43.488224,5.418386,,,0,,,0,,
AIX-26177,26177,Complexe Sportif,Complexe Sportif,43.573612,5.345238,,,0,,,0,,
