shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
09SP0014,43.513226,5.463781,28,
09SP0014,43.514362,5.464199,29,
09SP0014,43.515991,5.466718,30,
09SP0014,43.518173,5.464067,31,
09SP0014,43.519699,5.461402,32,
09SP0014,43.521328,5.458662,33,
09SP0015,43.522903,5.432906,1,
09SP0015,43.520943,5.43221,2,
09SP0015,43.51926,5.432504,3,
09SP0015,43.517075,5.435406,4,
09SP0015,43.515656,5.436278,5,
09SP0015,43.514503,5.438498,6,
09SP0015,43.51384,5.439627,7,
09SP0015,43.513218,5.44167,8,
09SP0015,43.513371,5.444921,9,
09SP0015,43.513512,5.44859,10,
09SP0015,43.512833,5.452506,11,
09SP0015,43.511841,5.457402,12,
09SP0015,43.512012,5.462,13,
09SP0015,43.513226,5.463781,14,
09SP0015,43.514362,5.464199,15,
09SP0015,43.515991,5.466718,16,
09SP0015,43.518173,5.464067,17,
09SP0015,43.519699,5.461402,18,
09SP0015,43.521328,5.458662,19,
09SP0017,43.521236,5.458684,1,
09SP0017,43.519466,5.461668,2,
09SP0017,43.517311,5.465274,3,
09SP0017,43.515388,5.466042,4,
09SP0017,43.513088,5.463658,5,
09SP0017,43.512012,5.462,6,
09SP0017,43.511883,5.457265,7,
09SP0017,43.511822,5.454042,8,
09SP0017,43.513405,5.451934,9,
09SP0017,43.513618,5.44829,10,
09SP0017,43.513454,5.4447,11,
09SP0017,43.513317,5.441579,12,
09SP0017,43.513817,5.439789,13,
09SP0017,43.514732,5.438272,14,
09SP0017,43.515491,5.436843,15,
09SP0017,43.517105,5.43557,16,
09SP0017,43.519855,5.432166,17,
09SP0017,43.520866,5.432236,18,
09SP0017,43.523029,5.433075,19,
09SP0017,43.52404,5.431312,20,
09SP0017,43.524921,5.42946,21,
09SP0017,43.52512,5.42424,22,
09SP0017,43.525246,5.422215,23,
09SP0017,43.526279,5.41719,24,
09SP0017,43.52726,5.415024,25,
09SP0017,43.528049,5.411132,26,
09SP0017,43.529251,5.41056,27,
09SP0017,43.530064,5.40941,28,
09SP0017,43.52882,5.406479,29,
09SP0017,43.528202,5.404968,30,
09SP0017,43.525513,5.399021,31,
09SP0017,43.524982,5.393764,32,
09SP0017,43.524849,5.389946,33,
09SP0017,43.523808,5.376228,34,
100021,43.541462,5.454301,1,
100021,43.542938,5.454589,2,
100021,43.543446,5.452607,3,
100021,43.541496,5.452159,4,
100021,43.542431,5.448825,5,
100021,43.542671,5.445756,6,
100021,43.542576,5.442113,7,
100021,43.540882,5.4419,8,
100021,43.539749,5.4425230000000004,9,
100021,43.536469,5.444756,10,
100021,43.534245,5.44563,11,
100021,43.534119,5.445191,12,
100021,43.533997,5.442999,13,
100021,43.533115,5.440185,14,
100021,43.53067,5.438123,15,
100021,43.528625,5.440062,16,
100021,43.527966,5.44154,17,
100021,43.52663,5.444524,18,
100021,43.52367,5.44266,19,
100021,43.522507,5.442368,20,
100021,43.51976,5.442678,21,
100021,43.518902,5.441479,22,
100021,43.517742,5.439007,23,
